grupo,firma_0,firma_1,firma_2,firma_3,firma_4,firma_5,clase
g03,5.600199,2.086127,0.34353,-3.097707,-2.909538,2.075557,0
g03,5.601163,2.083763,0.344624,-3.09344,-2.912519,2.078859,0
g04,-3.959305,-1.795761,-2.850188,3.687364,2.178658,2.092983,0
g04,-3.962254,-1.798636,-2.850587,3.687297,2.178774,2.094308,0
g04,-3.958792,-1.796538,-2.850662,3.681236,2.179821,2.092589,0
g04,-3.960403,-1.795287,-2.849884,3.684854,2.177336,2.093693,0
g04,-3.956032,-1.795408,-2.850947,3.687274,2.180991,2.094292,0
g04,-3.956008,-1.797134,-2.849344,3.684238,2.17869,2.095228,0
g04,-3.955579,-1.793826,-2.848764,3.686513,2.178001,2.091024,0
g04,-3.957791,-1.795421,-2.848248,3.688106,2.177878,2.093269,0
g05,-1.300375,-1.397248,0.455265,4.113056,2.004738,1.943473,1
g05,-1.304547,-1.396884,0.45121,4.113472,2.001989,1.942081,1
g05,-1.301562,-1.396627,0.457771,4.1119,2.00615,1.946743,1
g05,-1.299865,-1.393814,0.458693,4.114949,1.999416,1.943691,1
g05,-1.303679,-1.399892,0.458448,4.114731,2.00487,1.94366,1
g05,-1.299602,-1.397237,0.454553,4.115475,2.003733,1.947591,1
g05,-1.298864,-1.39663,0.453797,4.115699,1.999994,1.943988,1
g05,-1.303915,-1.394729,0.450992,4.110443,2.001701,1.944332,1
g06,0.230764,-2.064153,2.582553,-6.797537,-2.61064,2.586043,0
g06,0.233727,-2.06528,2.583747,-6.79512,-2.609617,2.586376,0
g06,0.233806,-2.06383,2.583574,-6.795966,-2.609389,2.584299,0
g06,0.230853,-2.056507,2.587208,-6.795157,-2.611895,2.584085,0
g06,0.234178,-2.059323,2.581841,-6.798026,-2.607824,2.584482,0
g06,0.235073,-2.061601,2.584788,-6.79321,-2.609274,2.581914,0
g06,0.229548,-2.062044,2.587596,-6.797745,-2.606156,2.588466,0
g06,0.234124,-2.062959,2.583258,-6.79676,-2.606509,2.581393,0
g07,-3.984996,0.950819,1.300008,-4.226148,1.622341,5.575373,0
g07,-3.987826,0.94821,1.298377,-4.222056,1.624887,5.571629,0
g07,-3.986262,0.950227,1.304176,-4.226807,1.620864,5.574503,0
g07,-3.984238,0.95125,1.299376,-4.224903,1.622376,5.575793,0
g07,-3.985443,0.954478,1.299677,-4.224392,1.625604,5.57026,0
g07,-3.987293,0.955523,1.299251,-4.224826,1.622395,5.571,0
g07,-3.983479,0.950566,1.302077,-4.22338,1.624105,5.572271,0
g07,-3.987825,0.951331,1.297768,-4.226298,1.62283,5.573617,0
g08,4.947156,2.182626,6.961785,3.411868,-3.303762,2.439786,0
g08,4.947031,2.179929,6.962081,3.412185,-3.299553,2.443846,0
g08,4.947689,2.187926,6.961396,3.409026,-3.307157,2.440651,0
g08,4.949868,2.185595,6.95988,3.412408,-3.302495,2.444111,0
g08,4.944839,2.183972,6.960133,3.410947,-3.304969,2.44156,0
g08,4.946517,2.1859,6.961439,3.410104,-3.29999,2.439577,0
g08,4.944321,2.184166,6.961093,3.413054,-3.304947,2.442182,0
g08,4.943726,2.183146,6.953915,3.412707,-3.303635,2.441514,0
g09,0.72587,2.503132,-3.071525,-3.096224,4.571695,-4.400624,0
g09,0.723414,2.499526,-3.075061,-3.098986,4.57423,-4.398499,0
g09,0.722991,2.501236,-3.072551,-3.097056,4.575229,-4.3996,0
g09,0.721857,2.501365,-3.073918,-3.09248,4.569018,-4.401411,0
g09,0.726279,2.501138,-3.068362,-3.092289,4.572565,-4.401564,0
g09,0.719684,2.502597,-3.075809,-3.095424,4.575496,-4.400286,0
g09,0.721445,2.504188,-3.07206,-3.093221,4.571233,-4.399878,0
g09,0.723582,2.504043,-3.072837,-3.093538,4.571242,-4.399462,0
g10,1.661667,2.33015,2.700608,-3.881475,-4.193259,3.852282,0
g10,1.666622,2.329537,2.700691,-3.883247,-4.195545,3.851871,0
g10,1.666399,2.3261,2.69654,-3.879211,-4.196671,3.852679,0
g10,1.665061,2.327579,2.702176,-3.879548,-4.195608,3.849518,0
g10,1.668153,2.326859,2.698482,-3.878921,-4.193087,3.852341,0
g10,1.666036,2.326803,2.697294,-3.877708,-4.18917,3.848227,0
g10,1.667196,2.327207,2.698846,-3.880247,-4.193105,3.853462,0
g10,1.666804,2.327763,2.698488,-3.880836,-4.193865,3.850902,0
g11,-2.52281,2.046792,3.088189,0.893487,-1.08614,2.677775,0
g11,-2.523747,2.04628,3.083253,0.89077,-1.086044,2.676604,0
g11,-2.524978,2.043289,3.086709,0.891799,-1.088695,2.679663,0
g11,-2.521597,2.047025,3.086249,0.89849,-1.085541,2.678501,0
g11,-2.521552,2.044449,3.088957,0.894996,-1.086353,2.680964,0
g11,-2.52042,2.044819,3.086916,0.89555,-1.085569,2.678163,0
g11,-2.524576,2.044896,3.086392,0.895177,-1.085619,2.677658,0
g11,-2.524155,2.046848,3.087756,0.893472,-1.085408,2.681249,0
g12,1.106032,-1.822375,2.443941,3.16091,6.087123,1.006511,1
g12,1.107244,-1.820314,2.447521,3.159661,6.089007,1.00463,1
g12,1.109224,-1.822124,2.442516,3.165019,6.088452,1.007607,1
g12,1.107576,-1.822879,2.443525,3.162079,6.084773,1.008439,1
g12,1.106144,-1.81983,2.444565,3.166118,6.090138,1.008907,1
g12,1.105561,-1.821639,2.444174,3.162267,6.089907,1.00343,1
g12,1.104998,-1.820539,2.445841,3.162979,6.089854,1.006297,1
g12,1.105377,-1.821081,2.444439,3.160387,6.090698,1.003782,1
g13,-5.777262,6.128943,2.509577,-0.094953,0.852255,-1.522007,1
g13,-5.777958,6.125414,2.511395,-0.096329,0.853472,-1.522593,1
g13,-5.777497,6.128698,2.510684,-0.096653,0.854034,-1.51661,1
g13,-5.78293,6.133726,2.513086,-0.097275,0.847776,-1.520226,1
g13,-5.777,6.127313,2.509733,-0.095102,0.849546,-1.518006,1
g13,-5.778846,6.127404,2.513077,-0.098158,0.852001,-1.521992,1
g13,-5.778642,6.129984,2.51029,-0.097806,0.854816,-1.519565,1
g13,-5.778298,6.129888,2.508293,-0.097417,0.852192,-1.522266,1
g14,2.837617,4.318368,1.595742,-1.616543,1.633445,3.471248,0
g14,2.839103,4.317534,1.594553,-1.618533,1.637433,3.467945,0
g14,2.838476,4.319262,1.591832,-1.621,1.638035,3.472299,0
g14,2.839779,4.318277,1.594198,-1.620003,1.634892,3.470474,0
g14,2.839332,4.318471,1.593847,-1.622267,1.641834,3.470976,0
g14,2.839768,4.316412,1.592785,-1.621944,1.637046,3.469066,0
g14,2.838351,4.319113,1.595224,-1.62282,1.641937,3.47053,0
g14,2.841405,4.31789,1.597602,-1.623046,1.635708,3.470975,0
g15,2.224272,1.087649,-0.125405,-1.448259,-3.658703,-3.82324,0
g15,2.22462,1.08358,-0.126767,-1.446546,-3.655774,-3.822511,0
g15,2.222879,1.08813,-0.123796,-1.448094,-3.655254,-3.82289,0
g15,2.220555,1.088942,-0.127147,-1.449898,-3.661804,-3.821436,0
g15,2.223722,1.08613,-0.126855,-1.448439,-3.661556,-3.825711,0
g15,2.224981,1.087324,-0.13122,-1.447532,-3.655853,-3.826716,0
g15,2.22213,1.084643,-0.127425,-1.445639,-3.660495,-3.821139,0
g15,2.222459,1.08915,-0.127512,-1.44308,-3.657446,-3.82564,0
g16,-0.385414,4.195299,-2.301309,2.146307,-1.712557,-2.413781,0
g16,-0.388179,4.200526,-2.302065,2.148081,-1.712536,-2.418522,0
g16,-0.384605,4.200252,-2.299123,2.149954,-1.713759,-2.41593,0
g16,-0.388596,4.196945,-2.30236,2.14532,-1.715724,-2.421906,0
g16,-0.383424,4.199138,-2.300764,2.148212,-1.712541,-2.420113,0
g16,-0.387106,4.199717,-2.304907,2.147204,-1.711357,-2.418949,0
g16,-0.387977,4.205222,-2.303801,2.148604,-1.712465,-2.420237,0
g16,-0.387739,4.199049,-2.303846,2.144754,-1.712561,-2.418679,0
g17,-0.49276,-6.655577,-0.141374,2.045479,-3.900446,-3.071345,1
g17,-0.494561,-6.654579,-0.141087,2.047641,-3.900616,-3.070946,1
g17,-0.491099,-6.656665,-0.142741,2.044807,-3.903478,-3.073958,1
g17,-0.493986,-6.658435,-0.144144,2.050951,-3.900829,-3.068582,1
g17,-0.496803,-6.659392,-0.141076,2.046621,-3.90376,-3.073509,1
g17,-0.491775,-6.658628,-0.144289,2.04488,-3.899527,-3.074275,1
g17,-0.495994,-6.662368,-0.143863,2.046631,-3.900967,-3.070045,1
g17,-0.492222,-6.65651,-0.145102,2.044989,-3.900686,-3.071165,1
g18,-3.016055,-2.568645,3.889343,-0.909568,7.033471,3.196154,1
g18,-3.021685,-2.568061,3.88749,-0.910118,7.032,3.19453,1
g18,-3.01432,-2.570501,3.891151,-0.909414,7.030717,3.19228,1
g18,-3.016065,-2.56778,3.890866,-0.909857,7.031724,3.198885,1
g18,-3.014813,-2.565479,3.889871,-0.911909,7.03271,3.191033,1
g18,-3.015513,-2.566223,3.890471,-0.908312,7.034081,3.191156,1
g18,-3.013218,-2.564562,3.886858,-0.907443,7.033729,3.189941,1
g18,-3.014032,-2.564884,3.890666,-0.907417,7.030477,3.195215,1
g19,3.647429,-0.144821,-1.750394,0.988245,0.698805,-5.455913,1
g19,3.647742,-0.14073,-1.753646,0.988631,0.699536,-5.453657,1
g19,3.643158,-0.140963,-1.750941,0.985879,0.701683,-5.450859,1
g19,3.652257,-0.143758,-1.747309,0.98575,0.698921,-5.456676,1
g19,3.650211,-0.143177,-1.753119,0.987991,0.705098,-5.456517,1
g19,3.645631,-0.143139,-1.752408,0.982385,0.698429,-5.453355,1
g19,3.646803,-0.140666,-1.75398,0.984857,0.697665,-5.455998,1
g19,3.646974,-0.141772,-1.753247,0.98456,0.699636,-5.454458,1
g20,-1.85775,1.70231,-5.263409,-2.106491,-4.618642,-2.561299,0
g20,-1.858938,1.702531,-5.262015,-2.108108,-4.622844,-2.561377,0
g20,-1.857587,1.705018,-5.264959,-2.107495,-4.61949,-2.559287,0
g20,-1.856847,1.706287,-5.263823,-2.106707,-4.621784,-2.562163,0
g20,-1.861474,1.706406,-5.261173,-2.106522,-4.62111,-2.561697,0
g20,-1.858925,1.70699,-5.260322,-2.103021,-4.619044,-2.561111,0
g20,-1.858313,1.703788,-5.261081,-2.107958,-4.620568,-2.563356,0
g20,-1.857708,1.708029,-5.258414,-2.106478,-4.623705,-2.562057,0
g21,4.629669,-6.051029,-0.666699,3.634589,-0.514163,-6.971069,1
g21,4.634854,-6.051273,-0.668581,3.635843,-0.517117,-6.969631,1
g21,4.631646,-6.055009,-0.663038,3.635945,-0.518558,-6.971354,1
g21,4.632476,-6.052831,-0.664426,3.63465,-0.516579,-6.972094,1
g21,4.633202,-6.049065,-0.667708,3.636336,-0.515061,-6.97044,1
g21,4.633383,-6.053605,-0.66582,3.63449,-0.514871,-6.969349,1
g21,4.633642,-6.051452,-0.667483,3.632348,-0.518249,-6.973097,1
g21,4.633064,-6.054582,-0.661373,3.635773,-0.515636,-6.973757,1
g22,3.14575,1.376967,1.898054,-0.19808,0.940713,-0.735045,1
g22,3.148625,1.377985,1.896733,-0.196445,0.937438,-0.738292,1
g22,3.142758,1.376455,1.899202,-0.19778,0.941411,-0.731204,1
g22,3.143601,1.376274,1.901728,-0.198127,0.937589,-0.730813,1
g22,3.142264,1.378635,1.898493,-0.196007,0.937909,-0.735373,1
g22,3.145804,1.376015,1.902156,-0.198161,0.938269,-0.733588,1
g22,3.144515,1.380237,1.905139,-0.193555,0.937952,-0.7346,1
g22,3.141549,1.376666,1.898547,-0.197792,0.936634,-0.734383,1
g23,-0.243018,1.488269,1.787965,2.67919,4.343306,-0.003533,1
g23,-0.241921,1.490205,1.786592,2.681334,4.348153,-0.003713,1
g23,-0.242733,1.49025,1.785115,2.680803,4.345772,-0.00425,1
g23,-0.246673,1.489207,1.786874,2.679305,4.347953,-0.005576,1
g23,-0.246204,1.488876,1.787997,2.678235,4.346526,-0.006943,1
g23,-0.24169,1.491107,1.785558,2.680555,4.344502,-0.005658,1
g23,-0.240956,1.488295,1.786061,2.681093,4.346232,-0.004434,1
g23,-0.247325,1.493045,1.785191,2.679385,4.349968,-0.007528,1
