id,temperatura,lluvia,zona,alerta,particion
e063,25.373543,42.047398,interior,1,train
e064,12.400755,73.559258,interior,1,train
e065,17.420736,81.04365,interior,1,train
e066,27.050563,87.488554,interior,1,train
e067,22.959379,55.17932,interior,1,train
e068,,63.681766,valle,1,train
e069,14.654772,3.784198,,0,train
e070,17.918654,60.84205,costa,0,train
e071,16.992836,16.411462,valle,0,train
e072,10.868266,14.724269,valle,0,train
e073,31.761147,48.93365,costa,1,train
e074,29.472606,23.732,valle,1,train
e075,31.535437,56.313003,interior,1,train
e076,30.903149,,interior,1,train
e077,27.706362,56.917303,costa,1,train
e078,31.878767,23.731927,interior,1,train
e079,29.453575,66.231766,interior,1,train
e080,16.016909,95.62542,costa,1,train
e081,11.079015,53.208878,costa,0,train
e082,26.159833,25.294224,valle,0,train
e083,22.269456,69.500817,interior,1,train
e084,31.075999,49.110919,costa,1,train
e085,,33.59529,valle,0,train
e086,33.941536,39.902106,costa,1,train
e087,8.627617,85.327843,interior,1,train
e088,33.430797,25.183877,costa,1,train
e089,28.169116,85.12336,costa,1,train
e090,18.451183,59.562298,valle,1,train
e091,16.270632,95.597106,valle,1,train
e092,5.183788,62.593577,,0,train
e093,22.5542,89.20182,valle,1,train
e094,9.759812,33.499171,interior,0,train
e095,19.264524,,interior,0,train
e096,26.676432,53.798415,interior,1,train
e097,9.079211,8.299885,costa,0,train
e098,25.947905,54.978648,costa,1,train
e099,19.151552,29.980905,valle,0,train
e100,7.471695,54.079141,costa,0,train
e101,11.275243,51.074457,interior,0,train
e102,,44.031373,interior,0,train
e103,28.053561,9.38324,costa,0,train
e104,23.082518,57.000076,valle,1,train
e105,9.310185,70.284701,valle,0,train
e106,18.622581,9.174544,interior,0,train
e107,14.470831,20.693074,costa,0,train
e108,33.275697,72.697714,valle,1,train
e109,32.29761,39.284062,interior,1,train
e110,10.782562,89.414882,valle,1,train
e111,30.462566,51.340995,interior,1,train
e112,11.878605,92.779651,costa,1,train
e113,31.693799,98.755798,valle,1,train
e114,23.888282,,interior,0,train
e115,8.002664,19.373042,,0,train
e116,28.873281,21.632563,valle,0,train
e117,5.036729,33.396457,costa,0,train
e118,13.435333,18.209878,valle,0,train
e119,,50.594614,interior,1,train
e120,8.575214,33.643788,valle,0,train
e121,29.430646,49.89051,interior,1,train
e122,20.88751,78.377674,interior,1,train
e123,11.275568,50.196412,interior,0,train
e124,16.095344,9.894294,interior,0,train
e125,25.659556,62.963826,interior,1,train
e126,33.301119,62.481862,valle,1,train
e127,5.356398,33.242984,interior,0,train
e128,19.145694,68.316076,interior,1,train
e129,14.859186,58.928494,costa,0,train
e130,5.122135,34.391145,valle,0,train
e131,9.963715,2.665401,valle,0,train
e132,25.074064,0.890314,valle,0,train
e133,33.657992,,interior,1,train
e134,34.287209,38.210072,costa,1,train
e135,15.248295,53.856065,interior,0,train
e136,,13.709329,interior,0,train
e137,5.522641,71.826786,costa,0,train
e138,5.268374,17.028562,,0,train
e139,34.636473,6.087594,interior,1,train
e140,32.964848,17.451515,valle,1,train
e141,28.011782,96.149729,costa,1,train
e142,14.448452,56.27188,costa,0,train
e143,25.339093,75.005522,costa,1,train
e144,34.153024,82.953094,costa,1,train
e145,8.081016,34.432562,interior,0,train
e146,21.080057,31.475143,costa,0,train
e147,20.697695,24.665222,valle,0,train
e148,24.004886,61.591993,costa,1,train
e149,7.314402,33.586423,costa,0,train
e150,18.53235,42.380344,interior,0,train
e151,34.930618,19.848485,costa,1,train
e152,26.979775,,valle,1,train
e153,,98.667879,interior,1,train
e154,7.228553,28.551313,costa,0,train
e155,15.314382,38.358146,valle,0,train
e156,23.613177,60.466703,valle,1,train
e157,23.079052,70.078285,interior,1,train
e158,9.539533,50.708654,interior,0,train
e159,34.137875,60.075645,costa,1,train
e160,20.361773,94.70063,interior,1,val
e161,8.647932,95.505012,,1,val
e162,22.887738,10.085714,costa,0,val
e163,12.383275,27.864188,costa,0,val
e164,5.348513,0.140132,valle,0,val
e165,14.1032,71.568399,valle,1,val
e166,31.861218,80.778868,costa,1,val
e167,5.709221,7.1118,valle,0,val
e168,23.372316,83.331947,valle,1,val
e169,32.175657,86.030571,valle,1,val
e170,,67.781177,costa,1,val
e171,17.870006,,valle,0,val
e172,9.257422,4.799933,valle,0,val
e173,32.631098,37.75909,interior,1,val
e174,15.69892,73.743368,costa,0,val
e175,13.37778,66.391139,valle,0,val
e176,31.165341,15.634571,interior,1,val
e177,11.807039,8.9986,costa,0,val
e178,15.548928,15.424424,valle,0,val
e179,6.200435,72.47389,interior,0,val
e180,21.019522,31.284887,valle,0,val
e181,16.118841,22.71237,valle,0,val
e182,25.197705,67.511253,valle,1,val
e183,13.760463,78.848402,valle,1,val
e184,12.479761,49.335727,,0,val
e185,21.062885,32.550792,valle,0,val
e186,8.074561,0.273753,costa,0,val
e187,,66.53346,valle,0,val
e188,18.98222,12.45698,costa,0,val
e189,29.265102,97.278458,costa,1,val
e190,32.693298,,interior,1,val
e191,7.768611,87.463477,costa,0,val
e192,22.342634,55.318651,interior,1,val
e193,34.652398,98.289282,valle,1,val
e194,26.338245,36.783819,interior,1,val
e195,15.341199,69.247576,interior,1,val
e196,15.251419,73.313512,interior,1,val
e197,17.417769,83.380361,costa,1,val
e198,8.39986,11.49878,valle,0,val
e199,7.278744,3.537468,valle,0,val
e200,34.912916,19.809967,cordillera,1,transferencia
e201,13.904497,2.472791,valle,0,transferencia
e202,30.903359,91.534136,cordillera,1,transferencia
e203,31.265068,74.581928,costa,1,transferencia
e204,,11.922519,costa,0,transferencia
e205,18.198941,30.202827,valle,0,transferencia
e206,30.328522,9.421547,cordillera,0,transferencia
e207,16.353792,34.004886,,0,transferencia
e208,29.228311,73.664214,cordillera,1,transferencia
e209,32.966584,,costa,1,transferencia
e210,30.33896,44.055186,valle,1,transferencia
e211,22.524483,25.745758,cordillera,0,transferencia
e212,13.32587,66.630516,costa,0,transferencia
e213,9.984834,48.976393,valle,0,transferencia
e214,13.144306,69.672339,valle,0,transferencia
e215,34.75411,93.493997,valle,1,transferencia
e216,34.489423,68.468572,costa,1,transferencia
e217,32.55899,60.371966,costa,1,transferencia
e218,23.368778,24.186965,costa,0,transferencia
e219,20.608802,19.070133,cordillera,0,transferencia
e220,14.166163,12.176797,cordillera,0,transferencia
e221,,84.206968,cordillera,1,transferencia
e222,10.97601,38.971803,costa,0,transferencia
e223,26.081702,90.264468,cordillera,1,transferencia
e224,13.561543,18.978143,costa,0,transferencia
e225,18.333603,96.471603,costa,1,transferencia
e226,29.868919,19.748879,cordillera,0,transferencia
e227,11.88502,53.850276,cordillera,0,transferencia
e228,31.589255,,cordillera,0,transferencia
e229,11.753556,71.039758,valle,0,transferencia
e230,11.052277,24.62517,,0,transferencia
e231,23.250779,0.114763,valle,0,transferencia
e232,26.971524,29.821435,cordillera,0,transferencia
e233,28.678535,18.688924,valle,0,transferencia
e234,8.960961,34.645295,costa,0,transferencia
e235,10.620273,35.061643,cordillera,0,transferencia
e236,13.855159,7.771158,costa,0,transferencia
e237,12.258255,34.482435,valle,0,transferencia
e238,,3.215926,valle,0,transferencia
e239,10.120347,5.073905,valle,0,transferencia
