id,x1,x2,clase,particion
p190,-1.441982,-8.261142,0,val
p191,0.249932,10.975013,0,val
p192,0.319244,-3.663419,1,val
p193,-1.317562,-3.912889,0,val
p194,0.258476,18.032668,0,val
p195,1.416184,-13.414807,1,val
p196,-1.076874,-3.453384,0,val
p197,0.481317,-0.870957,1,val
p198,-0.701795,2.629794,0,val
p199,0.205906,-14.453444,1,val
p200,0.431389,-1.727364,1,val
p201,-0.617835,-1.245766,0,val
p202,-1.807212,-5.494175,0,val
p203,-1.832047,-16.213257,0,val
p204,-0.12519,3.305026,0,val
p205,-0.901281,-4.532787,0,val
p206,0.983256,4.319174,1,val
p207,-1.131898,-14.523502,0,val
p208,-2.296023,-1.011935,0,val
p209,0.158064,-0.911484,1,val
p210,-0.302018,-2.371858,0,val
p211,-0.764352,-4.738993,0,val
p212,-0.104768,25.49192,0,val
p213,2.607554,1.481109,1,val
p214,2.51965,2.252922,1,val
p215,0.530824,-8.986673,1,val
p216,-0.89392,-2.745592,0,val
p217,-2.174134,9.266104,0,val
p218,-0.5604,11.919584,0,val
p219,0.295672,-0.296182,1,val
p220,1.471615,-2.824636,1,val
p221,0.478498,-3.525295,1,val
p222,-1.017898,8.934146,0,val
p223,0.155486,-7.633625,1,val
p224,-0.706432,-5.68958,0,val
p225,0.028195,-1.208641,1,val
p226,-1.921466,1.646608,0,val
p227,-0.87788,7.610688,0,val
p228,-1.896224,-4.385805,0,val
p229,-0.568748,-13.595268,1,val
p230,-1.015615,2.624974,0,val
p231,-0.430674,-2.940015,0,val
p232,-1.244402,3.438678,0,val
p233,-0.942377,-19.62958,1,val
p234,-1.939697,-10.244658,0,val
p235,-0.37577,5.254635,0,val
p236,-0.039112,-1.663489,1,val
p237,-0.638747,10.63607,0,val
p238,-1.636635,13.786464,0,val
p239,2.101171,1.628559,1,val
