x1,x2,clase,particion
-0.602275,1.023929,1,val
0.918355,1.298682,1,val
0.169572,1.312576,1,val
0.163734,-0.008259,0,val
-0.668797,-1.061214,1,val
0.564047,0.348668,0,val
-1.408998,-0.777644,1,val
0.248939,-0.283193,0,val
0.717771,1.233177,1,val
0.701057,-1.252012,1,val
0.191594,1.25151,1,val
1.43821,1.059626,1,val
-0.692395,0.308614,0,val
-0.790591,-0.451959,0,val
0.95247,1.419839,1,val
-1.333083,-0.51147,1,val
-0.042921,-0.85439,0,val
0.534755,-0.335797,0,val
-0.628226,-0.962266,1,val
-1.310085,-0.978451,1,val
0.387132,-0.080169,0,val
-0.412784,0.1636,0,val
0.385577,-0.92211,0,val
1.36693,0.602046,1,val
-1.233681,1.090567,1,val
1.222241,0.521866,1,val
0.068251,0.731695,0,val
-1.054789,0.388293,0,val
-1.414656,-0.039229,1,val
-1.142684,0.354757,1,val
-1.132839,1.319422,1,val
0.680638,-0.509352,0,val
0.687593,-0.579576,0,val
0.066704,1.140741,1,val
-0.934064,0.84358,1,val
-1.370234,0.53082,1,val
0.087985,0.550209,0,val
0.503391,-0.029629,0,val
0.027826,0.954028,0,val
-0.797595,-1.473175,1,val
1.339859,-0.729512,1,val
0.057205,-0.191247,0,val
1.380085,0.532868,1,val
1.298511,-0.595976,1,val
-0.635388,1.404915,1,val
1.213413,1.275954,1,val
0.565657,0.191711,0,val
0.112472,-0.669216,0,val
-0.914856,1.312492,1,val
0.652482,0.343745,0,val
-0.819381,-0.11158,0,val
-0.103243,1.49456,1,val
-0.951961,-1.345958,1,val
-0.66448,-0.508978,0,val
-1.050479,0.31264,0,val
-0.844764,1.026498,1,val
-0.082968,-0.021525,0,transferencia
0.756471,-0.623921,0,transferencia
-1.09317,-0.34944,1,transferencia
-0.122761,1.413766,1,transferencia
1.033475,0.75761,1,transferencia
-0.914545,0.489079,0,transferencia
0.670932,0.815523,0,transferencia
-0.498254,0.801988,0,transferencia
1.143004,0.337003,1,transferencia
-0.99148,-1.479365,1,transferencia
0.609995,0.438964,0,transferencia
0.24853,0.739781,0,transferencia
0.191195,0.822763,0,transferencia
0.267327,0.752742,0,transferencia
1.292882,-0.500456,1,transferencia
-0.145749,0.206327,0,transferencia
1.292369,1.019317,1,transferencia
-0.332106,1.120956,1,transferencia
-0.12203,0.568577,0,transferencia
0.659709,-1.374676,1,transferencia
-0.502312,-0.524802,0,transferencia
0.169841,-0.822173,0,transferencia
0.888619,0.119731,0,transferencia
1.03376,-0.765829,1,transferencia
-0.903747,1.264426,1,transferencia
0.845896,1.314255,1,transferencia
-0.663471,0.011401,0,transferencia
0.959782,1.408735,1,transferencia
-1.169184,1.005672,1,transferencia
-0.947146,0.256557,0,transferencia
-0.629824,-1.248875,1,transferencia
-1.125384,1.178465,1,transferencia
0.650414,0.395703,0,transferencia
0.78154,0.520676,0,transferencia
1.043172,-1.132209,1,transferencia
-0.362874,0.346021,0,transferencia
1.446757,0.330323,1,transferencia
-0.994732,0.055901,0,transferencia
0.341607,1.015805,0,transferencia
-0.930808,-0.363526,0,transferencia
-1.016994,-0.407277,0,transferencia
1.42058,-0.953459,1,transferencia
0.08051,-0.504204,0,transferencia
1.492015,-1.038386,1,transferencia
1.066519,1.257925,1,transferencia
0.046086,-1.319636,1,transferencia
0.547456,0.077297,0,transferencia
-0.902299,1.052064,1,transferencia
-0.55469,-0.49019,0,transferencia
-1.068081,-1.078991,1,transferencia
0.149959,0.524486,0,transferencia
0.964223,-0.949747,1,transferencia
1.108284,0.427669,1,transferencia
0.719375,1.216847,1,transferencia
-1.468595,-0.917993,1,transferencia
-0.233267,1.27519,1,transferencia
-0.501309,0.259755,0,transferencia
0.125599,0.342854,0,transferencia
1.179742,0.099421,1,transferencia
0.530485,-0.682631,0,transferencia
0.57719,-0.588125,0,transferencia
0.228874,1.252267,1,transferencia
-1.497934,1.185472,1,transferencia
-0.264514,-0.419042,0,transferencia
0.570453,-0.922029,0,transferencia
1.462853,-1.075947,1,transferencia
0.872532,-0.257214,0,transferencia
0.579285,-0.305484,0,transferencia
0.476144,-1.28654,1,transferencia
0.882726,-0.574764,0,transferencia
0.646513,0.280299,0,transferencia
-0.516142,0.808142,0,transferencia
-0.978608,-0.30285,0,transferencia
1.233441,0.115845,1,transferencia
0.83101,-0.788449,1,transferencia
1.210022,1.476708,1,transferencia
-0.4825,0.454936,0,transferencia
-1.472032,0.375269,1,transferencia
1.30247,1.386078,1,transferencia
-1.137242,0.272952,1,transferencia
